基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
工银前沿医疗股票A,001717,65.74亿元（2020-09-30）,15.76%,17.61%,18.13%,104.62%,178.88%,298.80%,谭冬寒/赵蓓,1年又40天,113.38%,4年又131天/6年又55天
南方高股息股票A,008736,5.58亿元（2020-09-30）,9.61%,16.66%,--,--,--,16.59%,黄春逢/张原,170天,16.59%,5年又13天/11年又110天
诺安研究精选股票,320022,13.92亿元（2020-09-30）,6.61%,13.43%,17.23%,62.95%,131.68%,306.54%,王创练,5年又288天,134.00%,5年又288天
中银大健康股票A,009414,12.36亿元（2020-09-30）,10.90%,15.80%,26.08%,--,--,33.13%,刘潇,228天,33.13%,2年又212天
景顺长城环保优势股票,001975,46.51亿元（2020-09-30）,5.58%,22.05%,25.70%,68.43%,114.63%,240.40%,杨锐文,4年又302天,240.40%,6年又79天
大摩量化多策略股票,001291,2.99亿元（2020-09-30）,15.21%,25.50%,29.20%,65.75%,50.73%,44.70%,余斌,1年又140天,77.76%,6年又140天
金信消费升级股票A,006692,1.62亿元（2020-09-30）,15.09%,29.66%,30.24%,82.63%,--,145.14%,周谧,66天,16.23%,2年又312天
嘉实互融精选股票,006603,0.20亿元（2020-09-30）,10.00%,15.28%,10.63%,36.27%,--,41.41%,冯正彦/蒋一茜,306天,32.07%,1年又325天/5年又80天
长信创新驱动股票,519935,0.60亿元（2020-09-30）,11.74%,13.89%,2.24%,43.38%,63.74%,96.00%,沈佳,1年又12天,55.80%,1年又30天
易方达ESG责任投资股票,007548,4.78亿元（2020-09-30）,15.03%,33.53%,42.47%,92.62%,--,98.40%,郭杰,1年又131天,98.40%,7年又305天
招商研究优选股票A,008261,8.44亿元（2020-09-30）,16.95%,21.44%,41.82%,--,--,57.00%,贾成东,264天,57.00%,5年又345天
交银医药创新股票,004075,25.97亿元（2020-09-30）,13.13%,15.87%,23.70%,101.08%,210.51%,254.98%,楼慧源,2年又111天,209.65%,2年又121天
长信量化多策略股票C,004858,2.54亿元（2020-09-30）,14.06%,21.70%,21.55%,58.43%,51.82%,62.90%,左金保,2年又126天,94.74%,5年又305天
