基金名称,基金代码,基金规模,近1月,近3月,近6月,近1年,近3年,成立来,基金经理,任职时间,任期收益,总任职时间
长信中债1-3年政金债指数C,009281,0.00亿元（2020-09-30）,1.43%,2.11%,2.07%,--,--,2.31%,陆莹,219天,2.31%,4年又13天
广发中债1-3年农发债指数A,005623,47.09亿元（2020-09-30）,0.75%,1.30%,1.53%,2.62%,--,10.76%,李伟,1年又74天,3.65%,2年又128天
鹏华中债1-3年国开行债C,007001,0.50亿元（2020-09-30）,0.77%,1.30%,1.38%,2.70%,--,6.34%,李振宇,1年又304天,6.34%,4年又14天
易方达中债1-3年国开债A,007169,24.29亿元（2020-09-30）,0.88%,1.48%,1.60%,3.23%,--,6.05%,杨真,23天,0.61%,43天
国寿安保中债1-3年指数C,007011,0.00亿元（2020-09-30）,0.83%,1.42%,1.55%,2.96%,--,6.21%,陶尹斌,1年又311天,6.21%,1年又325天
博时中债1-3政金债指数C,006634,0.01亿元（2020-09-30）,0.80%,1.33%,1.08%,2.01%,--,5.45%,张鹿,2年又32天,5.45%,2年又179天
前海开源3-5年国开债C,007764,0.01亿元（2020-09-30）,0.60%,1.49%,1.40%,2.02%,--,3.52%,李炳智,1年又138天,3.52%,3年又351天
易方达中债1-3年国开债C,007170,0.03亿元（2020-09-30）,0.87%,1.45%,1.54%,3.14%,--,5.85%,杨真,23天,0.60%,43天
工银彭博国开债1-3年指数C,009422,0.00亿元（2020-09-30）,0.79%,1.29%,1.58%,--,--,1.64%,陈涵,201天,1.64%,1年又205天
中金中债1-3年政金债C,008157,0.00亿元（2020-09-30）,0.63%,1.06%,1.19%,2.18%,--,2.21%,石玉,1年又17天,2.21%,4年又179天
鹏华中债1-3年农发行债券指数A,009702,79.95亿元（2020-08-17）,0.59%,1.02%,--,--,--,1.27%,李振宇,146天,1.27%,4年又14天
博时中债1-3年国开行A,007147,2.99亿元（2020-09-30）,0.81%,1.36%,1.24%,2.14%,--,4.89%,万志文,76天,1.13%,76天
汇添富中债1-3年农发债C,007290,0.01亿元（2020-09-30）,0.87%,1.33%,1.23%,2.90%,--,4.86%,杨靖,186天,1.23%,1年又323天
安信中债1-3年政策性金融债A,010406,25.00亿元（2020-11-25）,0.54%,--,--,--,--,0.59%,潘巍,46天,0.59%,2年又121天
国寿安保中债1-3年指数A,007010,159.64亿元（2020-09-30）,0.83%,1.42%,1.57%,3.03%,--,6.01%,陶尹斌,1年又311天,6.01%,1年又325天
长信中债1-3年政金债指数A,009280,0.80亿元（2020-09-30）,1.46%,1.73%,1.72%,--,--,1.96%,陆莹,219天,1.96%,4年又13天
工银彭博国开债1-3年指数A,009421,57.58亿元（2020-09-30）,0.80%,1.31%,1.55%,--,--,1.61%,陈涵,201天,1.61%,1年又205天
建信中债1-3年国开债C,007027,0.19亿元（2020-09-30）,0.85%,1.38%,1.39%,2.94%,--,6.12%,闫晗/刘思,1年又292天,6.12%,3年又69天/4年又176天
嘉实中债1-3政金债指数A,007021,27.88亿元（2020-09-30）,0.82%,1.36%,1.43%,2.75%,--,5.30%,尹页,109天,1.39%,2年又111天
汇添富中债1-3年国开债A,007097,60.04亿元（2020-09-30）,0.88%,1.44%,1.54%,3.04%,--,5.74%,何旻,1年又271天,5.74%,12年又203天
南方0-2年国开债C,009616,0.30亿元（2020-08-06）,0.58%,1.06%,--,--,--,1.36%,朱佳/夏晨曦,142天,1.28%,233天/8年又176天
工银1-3年农发债指数C,007125,0.01亿元（2020-09-30）,0.77%,1.27%,1.33%,2.54%,--,6.22%,陈涵/魏欣,1年又205天,5.97%,1年又205天/9年又268天
中融1-3年高等级信用债A,003083,1.98亿元（2020-09-30）,0.52%,0.81%,1.10%,2.99%,8.05%,10.39%,朱柏蓉,1年又127天,3.72%,1年又346天
长盛中债1-3年政策性金融债C,008680,0.04亿元（2020-09-30）,0.63%,1.22%,1.55%,--,--,1.63%,王赛飞,205天,1.63%,2年又203天
海富通上清所短融债券C,007073,0.00亿元（2020-09-30）,0.34%,0.80%,1.20%,2.25%,--,5.44%,陆丛凡/陈轶平,1年又192天,4.36%,1年又192天/7年又136天
